artifact,type,name,version,purl
source,library,@types/react,19.3.0,pkg:npm/%40types/react@19.3.0
source,library,@types/react-transition-group,2.9.2,pkg:npm/%40types/react-transition-group@2.9.2
source,library,@webassemblyjs/ast,1.7.10,pkg:npm/%40webassemblyjs/ast@1.7.10
source,library,@webassemblyjs/floating-point-hex-parser,1.7.10,pkg:npm/%40webassemblyjs/floating-point-hex-parser@1.7.10
source,library,@webassemblyjs/helper-api-error,1.7.10,pkg:npm/%40webassemblyjs/helper-api-error@1.7.10
source,library,@webassemblyjs/helper-buffer,1.7.10,pkg:npm/%40webassemblyjs/helper-buffer@1.7.10
source,library,@webassemblyjs/helper-code-frame,1.7.10,pkg:npm/%40webassemblyjs/helper-code-frame@1.7.10
source,library,@webassemblyjs/helper-fsm,1.7.10,pkg:npm/%40webassemblyjs/helper-fsm@1.7.10
source,library,@webassemblyjs/helper-module-context,1.7.10,pkg:npm/%40webassemblyjs/helper-module-context@1.7.10
source,library,@webassemblyjs/helper-wasm-bytecode,1.7.10,pkg:npm/%40webassemblyjs/helper-wasm-bytecode@1.7.10
source,library,@webassemblyjs/helper-wasm-section,1.7.10,pkg:npm/%40webassemblyjs/helper-wasm-section@1.7.10
source,library,@webassemblyjs/ieee754,1.7.10,pkg:npm/%40webassemblyjs/ieee754@1.7.10
source,library,@webassemblyjs/leb128,1.7.10,pkg:npm/%40webassemblyjs/leb128@1.7.10
source,library,@webassemblyjs/utf8,1.7.10,pkg:npm/%40webassemblyjs/utf8@1.7.10
source,library,@webassemblyjs/wasm-edit,1.7.10,pkg:npm/%40webassemblyjs/wasm-edit@1.7.10
source,library,@webassemblyjs/wasm-gen,1.7.10,pkg:npm/%40webassemblyjs/wasm-gen@1.7.10
source,library,@webassemblyjs/wasm-opt,1.7.10,pkg:npm/%40webassemblyjs/wasm-opt@1.7.10
source,library,@webassemblyjs/wasm-parser,1.7.10,pkg:npm/%40webassemblyjs/wasm-parser@1.7.10
source,library,@webassemblyjs/wast-parser,1.7.10,pkg:npm/%40webassemblyjs/wast-parser@1.7.10
source,library,@webassemblyjs/wast-printer,1.7.10,pkg:npm/%40webassemblyjs/wast-printer@1.7.10
source,library,@xtuc/ieee754,1.2.0,pkg:npm/%40xtuc/ieee754@1.2.0
source,library,@xtuc/long,4.2.1,pkg:npm/%40xtuc/long@4.2.1
source,library,JSV,4.0.2,pkg:npm/JSV@4.0.2
source,library,abab,2.0.6,pkg:npm/abab@2.0.6
source,library,abbrev,1.1.1,pkg:npm/abbrev@1.1.1
source,library,abbrev,1.1.1,pkg:npm/abbrev@1.1.1
source,library,accepts,1.3.8,pkg:npm/accepts@1.3.8
source,library,acorn,5.7.4,pkg:npm/acorn@5.7.4
source,library,acorn,6.4.2,pkg:npm/acorn@6.4.2
source,library,acorn-dynamic-import,3.0.0,pkg:npm/acorn-dynamic-import@3.0.0
source,library,acorn-globals,4.3.4,pkg:npm/acorn-globals@4.3.4
source,library,acorn-jsx,5.3.2,pkg:npm/acorn-jsx@5.3.2
source,library,acorn-walk,6.2.0,pkg:npm/acorn-walk@6.2.0
source,library,add-asset-html-webpack-plugin,3.1.1,pkg:npm/add-asset-html-webpack-plugin@3.1.1
source,library,airbnb-prop-types,2.16.0,pkg:npm/airbnb-prop-types@2.16.0
source,library,ajv,6.12.6,pkg:npm/ajv@6.12.6
source,library,ajv,6.15.0,pkg:npm/ajv@6.15.0
